student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,math_score_outlier,math_score_capped
14168,15,female,public,phd,3.0,61.6,yes,15-30 min,yes,mixed,50.9,60.6,43.6,48.7,e,False,50.9
14169,19,female,public,no formal,5.1,94.7,no,30-60 min,no,online videos,75.3,68.2,79.7,74.2,c,False,75.3
14170,17,other,public,phd,1.0,64.7,yes,>60 min,no,mixed,16.9,15.7,43.1,25.0,f,False,16.9
14171,18,female,public,phd,5.7,55.4,yes,>60 min,yes,group study,49.3,70.6,71.5,63.7,d,False,49.3
14172,18,male,public,diploma,6.5,57.8,yes,30-60 min,no,group study,66.7,87.7,56.7,66.1,d,False,66.7
14173,15,male,private,graduate,7.1,67.9,yes,>60 min,no,mixed,87.8,74.3,86.8,84.1,c,False,87.8
14174,18,other,public,graduate,6.2,93.9,yes,30-60 min,yes,coaching,75.6,100.0,97.5,90.0,b,False,75.6
14175,15,male,public,post graduate,4.3,83.2,no,>60 min,yes,group study,68.2,69.8,68.3,59.7,d,False,68.2
14176,15,male,public,high school,7.1,56.3,no,<15 min,yes,notes,78.9,74.4,83.0,83.8,c,False,78.9
14177,14,male,private,phd,4.2,76.8,no,15-30 min,no,online videos,73.9,85.4,61.2,70.4,c,False,73.9
14178,15,female,public,graduate,6.4,81.1,yes,<15 min,no,mixed,79.6,79.3,89.8,79.2,c,False,79.6
14179,19,male,public,no formal,1.0,90.4,yes,<15 min,no,notes,39.8,46.3,28.2,40.7,e,False,39.8
14180,15,female,private,high school,5.8,78.2,yes,<15 min,no,coaching,100.0,86.0,92.5,86.3,b,False,100.0
14181,16,other,public,no formal,1.1,67.2,yes,30-60 min,no,notes,48.0,25.2,34.6,42.5,e,False,48.0
14182,16,other,private,post graduate,0.7,99.8,yes,30-60 min,no,coaching,48.1,39.5,22.3,47.8,e,False,48.1
14183,18,female,public,diploma,4.3,63.0,yes,30-60 min,no,coaching,58.9,57.9,52.1,52.6,e,False,58.9
14184,17,other,private,diploma,1.4,98.2,yes,30-60 min,no,group study,43.8,59.3,46.8,47.8,e,False,43.8
14185,17,female,private,diploma,2.9,60.5,yes,15-30 min,yes,coaching,46.6,33.9,30.9,38.5,f,False,46.6
14186,19,other,private,post graduate,6.3,75.9,yes,30-60 min,yes,textbook,81.2,72.8,90.8,78.4,c,False,81.2
14187,16,male,private,phd,4.6,55.5,yes,<15 min,yes,notes,48.5,63.1,33.2,50.0,e,False,48.5
14188,18,other,public,phd,6.0,94.6,yes,<15 min,no,online videos,89.9,100.0,98.1,92.7,b,False,89.9
14189,19,male,private,phd,6.4,74.5,yes,15-30 min,yes,coaching,78.2,88.2,86.4,79.8,c,False,78.2
14190,18,male,private,high school,4.1,94.2,no,30-60 min,no,mixed,76.4,74.6,78.8,76.3,c,False,76.4
14191,14,male,public,graduate,7.9,91.2,no,30-60 min,yes,coaching,100.0,99.5,91.1,92.9,b,False,100.0
14192,15,female,private,graduate,2.0,59.5,yes,30-60 min,yes,textbook,43.8,44.5,29.5,39.5,f,False,43.8
14193,17,female,private,high school,1.1,52.9,yes,<15 min,yes,coaching,11.4,39.1,30.8,32.4,f,False,11.4
14194,16,male,public,phd,2.9,95.8,yes,>60 min,no,group study,85.2,79.0,76.0,68.7,d,False,85.2
14195,15,other,public,phd,6.2,78.1,yes,30-60 min,yes,coaching,78.1,78.4,61.6,72.6,c,False,78.1
14196,16,male,private,phd,1.2,92.6,yes,15-30 min,no,notes,65.6,60.2,18.8,40.5,e,False,65.6
14197,14,female,public,phd,4.0,84.5,yes,<15 min,no,group study,68.4,72.1,63.7,69.0,d,False,68.4
14198,15,female,private,no formal,4.8,88.5,yes,15-30 min,yes,coaching,86.2,67.7,69.7,74.7,c,False,86.2
14199,18,female,private,no formal,6.6,74.2,yes,>60 min,yes,group study,93.9,96.3,67.3,86.3,b,False,93.9
14200,14,other,public,post graduate,6.8,86.7,yes,>60 min,no,notes,87.2,86.2,78.5,85.2,b,False,87.2
14201,19,other,public,post graduate,2.3,95.9,yes,15-30 min,no,group study,72.1,63.9,75.8,58.7,d,False,72.1
14202,16,other,private,diploma,2.6,85.5,yes,<15 min,yes,online videos,45.0,55.3,57.4,46.8,e,False,45.0
14203,18,other,private,no formal,5.6,96.6,yes,15-30 min,no,textbook,82.4,91.9,87.2,81.1,c,False,82.4
14204,15,other,public,high school,6.9,62.1,no,15-30 min,no,textbook,71.9,66.0,85.7,82.8,c,False,71.9
14205,18,female,public,no formal,1.8,90.1,yes,>60 min,yes,textbook,40.7,48.4,19.4,42.8,e,False,40.7
14206,17,female,private,no formal,5.9,76.5,no,>60 min,yes,textbook,65.7,68.6,86.5,74.6,c,False,65.7
14207,19,male,public,high school,2.3,53.0,no,30-60 min,yes,notes,30.6,29.8,15.9,30.1,f,False,30.6
14208,14,other,private,graduate,1.9,82.3,yes,30-60 min,yes,notes,55.1,26.6,41.4,48.8,e,False,55.1
14209,18,other,private,graduate,3.0,81.4,yes,30-60 min,no,group study,65.7,69.8,57.8,61.7,d,False,65.7
14210,15,other,public,diploma,6.5,99.5,yes,30-60 min,no,textbook,94.3,100.0,93.3,92.0,b,False,94.3
14211,16,other,public,graduate,6.1,82.5,yes,<15 min,no,textbook,91.5,94.7,73.4,84.1,c,False,91.5
14212,14,other,private,post graduate,4.1,56.5,yes,15-30 min,no,group study,78.3,56.1,44.0,53.7,e,False,78.3
14213,19,other,private,no formal,5.9,99.6,yes,30-60 min,yes,coaching,76.6,71.2,90.5,81.0,c,False,76.6
14214,17,male,private,high school,3.5,65.7,yes,30-60 min,no,textbook,84.1,43.0,79.3,59.8,d,False,84.1
14215,19,male,public,high school,2.1,84.9,yes,15-30 min,no,coaching,34.0,58.0,45.4,48.0,e,False,34.0
14216,17,female,public,no formal,6.8,79.9,yes,>60 min,yes,group study,58.5,90.1,89.5,81.8,c,False,58.5
14217,14,female,private,no formal,0.9,67.8,yes,30-60 min,yes,coaching,46.2,34.6,32.0,34.0,f,False,46.2
14218,16,other,private,post graduate,7.3,70.3,yes,15-30 min,no,online videos,85.6,84.0,94.0,84.8,c,False,85.6
14219,16,other,private,phd,6.4,82.7,yes,>60 min,no,notes,62.0,87.5,82.8,77.5,c,False,62.0
14220,14,other,private,no formal,5.9,93.6,yes,>60 min,yes,coaching,87.4,74.9,92.6,86.9,b,False,87.4
14221,19,other,public,post graduate,4.8,97.3,yes,30-60 min,yes,mixed,69.0,69.1,64.0,73.1,c,False,69.0
14222,19,male,public,high school,6.6,99.6,no,<15 min,yes,group study,88.0,97.7,78.9,83.9,c,False,88.0
14223,17,female,public,no formal,0.7,55.8,no,30-60 min,no,notes,35.2,22.6,37.9,37.7,f,False,35.2
14224,17,male,private,high school,4.9,59.4,yes,>60 min,no,mixed,83.8,78.9,67.6,70.8,c,False,83.8
14225,18,female,public,phd,2.5,60.3,yes,>60 min,no,textbook,53.7,42.4,57.8,52.0,e,False,53.7
14226,18,female,public,diploma,5.3,98.7,yes,>60 min,no,online videos,83.3,75.0,63.3,80.4,c,False,83.3
14227,14,other,private,post graduate,5.6,54.9,yes,<15 min,yes,group study,64.8,64.9,82.5,66.6,d,False,64.8
14228,17,male,public,diploma,2.1,84.9,yes,>60 min,yes,mixed,53.4,49.6,61.6,46.5,e,False,53.4
14229,18,female,public,diploma,1.7,97.9,yes,15-30 min,no,group study,56.3,58.2,62.5,57.4,d,False,56.3
14230,18,other,private,post graduate,4.9,78.8,no,<15 min,no,textbook,76.6,71.5,63.8,66.5,d,False,76.6
14231,17,female,public,phd,7.6,50.4,yes,15-30 min,yes,group study,64.3,85.2,75.1,78.2,c,False,64.3
14232,19,male,public,graduate,5.5,53.3,no,30-60 min,no,notes,73.7,63.6,68.1,72.4,c,False,73.7
14233,17,male,public,phd,4.1,85.5,yes,30-60 min,yes,online videos,53.9,57.0,63.8,59.7,d,False,53.9
14234,16,female,public,no formal,7.5,69.9,yes,<15 min,no,coaching,70.0,77.3,74.8,79.9,c,False,70.0
14235,16,female,private,phd,6.6,75.3,yes,<15 min,no,notes,67.4,90.7,76.0,80.6,c,False,67.4
14236,18,other,private,high school,6.0,52.3,yes,<15 min,yes,textbook,61.0,66.3,53.1,69.6,d,False,61.0
14237,19,female,private,high school,3.8,94.9,yes,<15 min,yes,group study,71.5,55.1,68.7,67.9,d,False,71.5
14238,15,female,private,phd,4.2,95.3,yes,<15 min,yes,notes,71.4,62.3,63.7,66.8,d,False,71.4
14239,15,female,public,diploma,2.5,80.1,yes,<15 min,yes,mixed,53.9,56.2,63.0,45.8,e,False,53.9
14240,17,male,private,high school,6.6,73.8,yes,<15 min,no,notes,75.2,83.5,80.2,79.7,c,False,75.2
14241,18,male,public,no formal,2.6,69.7,yes,>60 min,yes,group study,51.5,46.0,17.2,41.2,e,False,51.5
14242,16,female,private,high school,5.8,59.9,yes,30-60 min,yes,coaching,70.5,60.1,75.3,71.1,c,False,70.5
14243,17,other,private,post graduate,7.1,97.0,yes,30-60 min,yes,notes,100.0,100.0,100.0,100.0,a,False,100.0
14244,14,female,private,no formal,4.6,74.5,yes,30-60 min,no,online videos,58.9,63.2,50.9,57.8,d,False,58.9
14245,15,male,public,phd,1.7,55.4,yes,30-60 min,yes,group study,35.3,46.7,62.9,42.6,e,False,35.3
14246,19,other,private,post graduate,0.7,89.6,yes,<15 min,yes,coaching,22.7,33.3,39.7,36.8,f,False,22.7
14247,17,male,private,high school,5.5,98.6,no,>60 min,no,mixed,77.1,100.0,80.7,89.0,b,False,77.1
14248,19,other,public,post graduate,2.2,64.1,no,<15 min,no,textbook,27.1,22.2,50.4,36.7,f,False,27.1
14249,15,other,private,graduate,0.8,84.4,no,15-30 min,no,notes,26.5,15.7,33.1,31.4,f,False,26.5
14250,15,other,public,diploma,3.1,99.8,yes,15-30 min,yes,coaching,65.8,53.3,58.1,59.4,d,False,65.8
14251,19,male,public,graduate,4.9,55.7,yes,<15 min,no,coaching,78.8,65.6,62.6,68.9,d,False,78.8
14252,19,male,public,no formal,4.6,90.6,yes,15-30 min,yes,notes,84.4,73.7,71.1,73.7,c,False,84.4
14253,19,female,public,phd,1.8,74.9,yes,<15 min,yes,notes,19.2,54.1,35.6,50.5,e,False,19.2
14254,15,other,public,post graduate,5.0,83.5,yes,15-30 min,no,notes,70.1,85.1,71.6,74.7,c,False,70.1
14255,18,other,public,high school,3.6,59.0,yes,<15 min,no,online videos,58.5,61.7,51.3,61.2,d,False,58.5
14256,16,female,public,no formal,4.1,60.9,yes,30-60 min,yes,online videos,48.0,47.6,63.6,52.2,e,False,48.0
14257,19,male,public,diploma,7.1,77.8,yes,30-60 min,no,mixed,62.2,77.0,79.7,79.3,c,False,62.2
14258,19,other,private,diploma,1.1,62.5,yes,>60 min,yes,textbook,40.2,37.8,45.0,30.0,f,False,40.2
14259,16,other,private,post graduate,4.5,79.8,yes,<15 min,yes,mixed,85.0,61.6,80.8,66.8,d,False,85.0
14260,15,female,private,phd,1.8,54.4,no,15-30 min,no,textbook,29.4,31.9,23.4,32.8,f,False,29.4
14261,19,female,public,no formal,1.9,89.1,no,30-60 min,no,mixed,74.0,46.7,53.0,51.8,e,False,74.0
14262,16,male,private,high school,5.1,63.7,yes,30-60 min,yes,group study,44.4,73.4,67.9,67.6,d,False,44.4
14263,16,other,private,graduate,5.5,86.9,yes,30-60 min,yes,coaching,64.1,81.3,76.6,75.1,c,False,64.1
14264,17,male,public,diploma,5.0,58.2,yes,>60 min,no,coaching,68.8,81.4,82.8,71.5,c,False,68.8
14265,19,other,public,phd,7.4,90.0,no,15-30 min,yes,mixed,99.1,91.6,91.8,92.6,b,False,99.1
14266,14,other,public,graduate,6.5,50.7,yes,15-30 min,no,coaching,73.4,72.3,73.8,72.6,c,False,73.4
14267,19,other,public,high school,2.0,58.5,yes,15-30 min,yes,group study,28.7,28.7,40.1,39.6,f,False,28.7
14268,16,other,public,post graduate,5.3,66.9,yes,<15 min,no,online videos,84.0,60.7,77.0,76.6,c,False,84.0
14269,14,other,private,diploma,5.2,89.0,yes,15-30 min,no,group study,87.5,78.0,72.1,81.7,c,False,87.5
14270,15,male,public,diploma,5.3,51.6,yes,15-30 min,yes,online videos,53.0,56.2,52.8,58.4,d,False,53.0
14271,16,female,private,post graduate,3.7,87.0,no,30-60 min,no,textbook,64.5,66.6,45.5,68.3,d,False,64.5
14272,18,female,public,diploma,7.6,61.8,yes,30-60 min,no,coaching,68.3,89.8,83.5,79.6,c,False,68.3
14273,17,other,private,post graduate,4.0,99.8,yes,15-30 min,no,group study,87.0,68.9,83.3,81.6,c,False,87.0
14274,14,other,private,diploma,6.4,64.3,yes,<15 min,no,mixed,70.8,66.9,85.1,82.7,c,False,70.8
14275,16,female,public,graduate,4.1,57.3,yes,30-60 min,yes,online videos,34.5,30.4,62.3,47.5,e,False,34.5
14276,15,female,public,diploma,6.4,84.2,yes,30-60 min,no,online videos,100.0,87.9,98.4,91.9,b,False,100.0
14277,15,male,public,graduate,3.5,63.8,yes,15-30 min,yes,textbook,56.0,70.9,67.0,55.1,d,False,56.0
14278,18,male,private,diploma,0.5,77.0,yes,<15 min,yes,group study,21.5,40.9,39.5,28.7,f,False,21.5
14279,18,female,public,no formal,4.2,88.6,no,15-30 min,no,online videos,40.9,70.7,77.3,60.2,d,False,40.9
14280,14,other,public,high school,4.6,90.0,yes,30-60 min,yes,online videos,71.4,64.7,83.2,70.3,c,False,71.4
14281,17,other,private,diploma,1.4,61.0,yes,<15 min,yes,notes,37.6,25.7,29.1,37.5,f,False,37.6
14282,16,female,private,high school,5.5,60.5,yes,30-60 min,no,group study,87.1,80.6,82.4,76.0,c,False,87.1
14283,16,male,private,diploma,6.9,63.6,yes,>60 min,no,notes,66.3,100.0,96.8,89.8,b,False,66.3
14284,18,other,private,diploma,7.0,69.7,yes,30-60 min,yes,notes,73.0,78.8,85.0,80.6,c,False,73.0
14285,15,female,private,high school,3.3,87.3,yes,>60 min,yes,mixed,57.8,44.0,72.6,52.3,e,False,57.8
14286,18,female,private,diploma,3.6,77.1,yes,<15 min,no,mixed,66.9,63.7,71.3,68.5,d,False,66.9
14287,16,female,public,high school,6.9,94.0,yes,>60 min,no,online videos,100.0,92.8,100.0,96.6,a,False,100.0
14288,14,other,public,graduate,8.0,84.9,yes,>60 min,yes,online videos,96.8,100.0,93.7,94.2,b,False,96.8
14289,18,male,public,diploma,0.9,80.7,yes,30-60 min,no,textbook,49.9,46.8,46.1,47.7,e,False,49.9
14290,19,male,private,graduate,1.0,76.0,yes,30-60 min,yes,textbook,53.0,58.4,43.7,46.9,e,False,53.0
14291,17,male,private,diploma,0.9,70.6,yes,<15 min,yes,mixed,21.0,39.9,24.4,33.2,f,False,21.0
14292,18,other,public,phd,4.0,67.3,yes,30-60 min,yes,notes,52.6,55.1,53.7,49.2,e,False,52.6
14293,14,male,public,diploma,6.4,58.7,yes,30-60 min,yes,mixed,71.9,80.2,85.3,68.1,d,False,71.9
14294,16,male,private,graduate,1.2,63.5,yes,>60 min,no,coaching,64.2,56.1,41.6,43.2,e,False,64.2
14295,16,female,private,diploma,5.7,95.0,yes,<15 min,no,mixed,53.3,71.7,77.5,74.1,c,False,53.3
14296,18,other,public,post graduate,1.8,91.5,yes,<15 min,no,online videos,54.0,46.8,49.7,57.9,d,False,54.0
14297,16,female,public,graduate,0.7,50.2,yes,15-30 min,no,coaching,27.3,19.6,4.2,21.9,f,False,27.3
14298,18,other,private,no formal,5.0,61.2,yes,<15 min,no,group study,67.1,54.2,58.4,58.3,d,False,67.1
14299,15,other,public,post graduate,5.0,90.4,yes,>60 min,no,coaching,82.3,98.2,78.0,84.4,c,False,82.3
14300,17,female,private,post graduate,2.6,79.3,yes,<15 min,yes,group study,53.3,61.2,47.0,56.7,d,False,53.3
14301,15,female,private,diploma,2.9,53.6,no,<15 min,no,notes,33.2,19.0,18.7,35.4,f,False,33.2
14302,17,female,private,graduate,3.2,90.4,yes,<15 min,no,textbook,82.7,60.8,53.3,68.6,d,False,82.7
14303,14,other,private,no formal,7.5,87.7,yes,>60 min,no,group study,99.5,94.9,100.0,100.0,a,False,99.5
14304,18,male,private,phd,7.0,64.1,yes,<15 min,no,mixed,65.9,81.3,92.0,73.1,c,False,65.9
14305,14,other,public,post graduate,4.5,87.2,yes,15-30 min,no,group study,60.3,61.2,61.0,66.4,d,False,60.3
14306,19,female,public,phd,7.7,94.3,no,>60 min,yes,notes,92.6,100.0,100.0,100.0,a,False,92.6
14307,19,other,public,graduate,4.9,82.4,yes,15-30 min,yes,group study,80.0,60.2,62.2,71.7,c,False,80.0
14308,17,female,private,high school,1.3,87.2,yes,15-30 min,no,group study,51.1,20.8,33.2,40.2,e,False,51.1
14309,19,other,private,high school,4.2,52.4,yes,30-60 min,no,mixed,29.0,47.9,31.1,46.0,e,False,29.0
14310,18,male,public,phd,7.2,78.3,yes,<15 min,no,mixed,74.1,61.0,75.8,79.2,c,False,74.1
14311,14,male,private,no formal,5.5,87.7,no,30-60 min,yes,textbook,80.3,72.2,51.9,74.6,c,False,80.3
14312,18,male,public,post graduate,7.6,73.1,yes,30-60 min,no,coaching,94.2,93.6,81.5,91.6,b,False,94.2
14313,16,other,public,no formal,4.5,70.2,yes,15-30 min,no,group study,61.9,75.5,60.7,64.9,d,False,61.9
14314,19,other,public,post graduate,7.3,78.1,yes,15-30 min,no,mixed,93.2,92.5,79.3,84.8,c,False,93.2
14315,19,other,private,graduate,6.2,83.7,no,<15 min,no,coaching,88.6,62.8,78.8,74.6,c,False,88.6
14316,19,male,public,diploma,6.7,90.8,yes,<15 min,no,notes,77.0,73.7,91.1,84.1,c,False,77.0
14317,16,male,private,post graduate,7.9,90.8,yes,15-30 min,yes,textbook,84.1,87.3,98.4,100.0,a,False,84.1
14318,15,female,public,diploma,2.8,85.2,yes,>60 min,yes,textbook,45.9,41.0,57.6,46.9,e,False,45.9
14319,14,other,public,graduate,5.2,99.2,yes,<15 min,no,notes,63.2,87.4,56.0,74.0,c,False,63.2
14320,14,male,private,post graduate,2.4,76.9,yes,>60 min,no,group study,62.6,84.9,62.7,55.4,d,False,62.6
14321,19,female,public,diploma,6.9,72.2,yes,15-30 min,no,notes,64.3,77.2,73.0,74.6,c,False,64.3
14322,17,female,public,no formal,4.9,66.5,no,30-60 min,no,group study,86.6,65.5,51.1,66.9,d,False,86.6
14323,16,female,public,phd,1.8,56.2,yes,>60 min,yes,notes,32.0,40.3,51.5,43.5,e,False,32.0
14324,16,female,private,graduate,3.7,61.1,yes,15-30 min,yes,textbook,55.6,49.4,59.7,56.8,d,False,55.6
14325,15,female,public,diploma,1.9,65.3,yes,>60 min,no,notes,47.2,25.7,39.8,45.2,e,False,47.2
14326,17,other,public,no formal,3.9,75.3,yes,<15 min,yes,online videos,47.5,66.9,64.4,54.0,e,False,47.5
14327,16,male,public,no formal,1.1,99.9,yes,30-60 min,yes,group study,38.0,44.5,40.1,39.8,f,False,38.0
14328,18,female,private,high school,7.7,88.8,no,15-30 min,no,textbook,100.0,95.1,100.0,98.1,a,False,100.0
14329,14,male,public,phd,5.0,94.4,yes,30-60 min,no,online videos,100.0,88.1,87.2,83.6,c,False,100.0
14330,19,male,public,post graduate,7.9,59.1,yes,15-30 min,no,online videos,96.1,96.3,81.5,92.5,b,False,96.1
14331,14,female,public,diploma,1.8,51.2,yes,>60 min,no,online videos,26.8,36.6,9.6,26.1,f,False,26.8
14332,16,female,public,post graduate,3.4,50.1,no,30-60 min,yes,coaching,50.0,40.8,26.5,37.4,f,False,50.0
14333,16,male,public,diploma,7.5,75.1,yes,>60 min,no,coaching,89.1,80.9,85.2,82.2,c,False,89.1
14334,18,male,private,phd,5.7,55.9,yes,15-30 min,yes,group study,89.9,78.3,72.0,77.5,c,False,89.9
14335,17,other,public,high school,1.0,59.5,yes,<15 min,yes,mixed,16.6,17.2,28.5,25.0,f,False,16.6
14336,15,other,private,post graduate,7.1,58.9,no,30-60 min,yes,notes,57.7,62.1,66.3,72.0,c,False,57.7
14337,16,other,public,diploma,1.9,85.7,yes,>60 min,no,textbook,67.4,58.3,32.6,50.1,e,False,67.4
14338,17,male,private,post graduate,2.5,97.7,yes,30-60 min,no,coaching,73.1,87.2,72.4,68.1,d,False,73.1
14339,16,male,private,high school,6.0,56.1,yes,>60 min,no,coaching,61.7,58.1,76.2,67.2,d,False,61.7
14340,14,male,public,phd,5.8,55.3,yes,<15 min,yes,mixed,54.3,49.2,63.5,65.2,d,False,54.3
14341,15,male,public,high school,5.5,66.5,yes,30-60 min,yes,online videos,75.4,64.6,76.9,79.5,c,False,75.4
14342,17,female,private,graduate,0.5,81.9,yes,<15 min,yes,coaching,59.1,34.7,49.7,40.2,e,False,59.1
14343,15,female,private,post graduate,2.4,68.5,yes,<15 min,yes,mixed,25.5,30.5,43.5,37.7,f,False,25.5
14344,17,male,private,graduate,3.1,63.9,yes,15-30 min,no,online videos,69.8,60.2,63.9,51.3,e,False,69.8
14345,14,female,public,graduate,3.5,55.8,yes,30-60 min,yes,textbook,36.5,54.0,52.1,42.4,e,False,36.5
14346,18,female,private,phd,1.1,72.9,yes,>60 min,yes,online videos,44.4,61.6,38.0,44.4,e,False,44.4
14347,15,male,public,phd,5.6,51.8,yes,30-60 min,no,online videos,69.5,83.0,65.5,69.3,d,False,69.5
14348,17,female,public,post graduate,7.2,81.4,yes,>60 min,no,group study,92.4,96.8,91.2,90.9,b,False,92.4
14349,19,female,private,high school,7.9,91.2,yes,30-60 min,no,group study,84.9,89.3,97.7,100.0,a,False,84.9
14350,16,other,public,post graduate,6.5,98.4,yes,30-60 min,yes,online videos,100.0,88.3,80.7,85.5,b,False,100.0
14351,14,male,public,graduate,2.0,66.1,yes,<15 min,no,mixed,51.6,37.5,49.3,44.3,e,False,51.6
14352,14,male,public,graduate,4.3,91.3,yes,30-60 min,no,notes,74.4,43.9,68.0,66.1,d,False,74.4
14353,16,other,public,phd,7.4,75.3,yes,>60 min,yes,notes,83.8,82.4,77.5,82.7,c,False,83.8
14354,14,female,private,graduate,1.0,63.4,yes,30-60 min,no,coaching,27.3,19.4,13.7,24.6,f,False,27.3
14355,19,female,public,phd,2.2,54.8,yes,30-60 min,no,coaching,54.0,37.3,51.2,49.3,e,False,54.0
14356,19,other,public,graduate,2.5,72.3,no,15-30 min,yes,coaching,44.9,36.2,35.1,41.3,e,False,44.9
14357,19,other,private,no formal,5.1,93.4,yes,>60 min,yes,group study,74.9,100.0,78.2,83.7,c,False,74.9
14358,19,male,public,post graduate,7.6,97.4,yes,15-30 min,yes,coaching,93.5,100.0,91.7,100.0,a,False,93.5
14359,17,other,public,diploma,4.1,73.1,yes,15-30 min,no,notes,76.2,85.0,62.5,66.3,d,False,76.2
14360,15,female,private,graduate,4.7,88.7,yes,30-60 min,yes,textbook,85.3,72.5,65.3,71.1,c,False,85.3
14361,16,female,public,high school,5.3,60.6,yes,30-60 min,no,mixed,57.0,48.4,75.7,64.9,d,False,57.0
14362,15,other,private,high school,6.9,87.2,yes,>60 min,yes,group study,85.0,69.3,84.7,87.3,b,False,85.0
14363,19,male,public,post graduate,2.6,51.1,yes,30-60 min,yes,mixed,30.5,20.0,18.7,33.1,f,False,30.5
14364,16,other,private,high school,5.2,70.9,yes,15-30 min,yes,mixed,69.6,83.4,61.5,60.7,d,False,69.6
14365,16,female,private,no formal,7.4,88.5,yes,15-30 min,no,group study,91.7,94.9,100.0,93.0,b,False,91.7
14366,18,other,private,diploma,7.5,68.3,yes,<15 min,no,online videos,83.8,90.0,86.2,87.0,b,False,83.8
14367,16,female,public,post graduate,3.4,55.2,yes,15-30 min,no,group study,34.3,42.1,40.3,42.1,e,False,34.3
14368,16,other,public,high school,1.3,98.6,yes,<15 min,yes,textbook,60.2,55.0,34.3,50.7,e,False,60.2
14369,15,female,public,diploma,7.4,64.9,yes,>60 min,yes,coaching,77.2,66.2,75.9,77.7,c,False,77.2
14370,14,female,private,diploma,7.4,52.1,yes,15-30 min,no,group study,73.2,72.5,69.4,76.3,c,False,73.2
14371,14,female,public,phd,1.2,70.4,no,>60 min,yes,coaching,32.3,14.0,15.0,33.0,f,False,32.3
14372,16,other,public,no formal,1.1,84.8,yes,30-60 min,no,online videos,59.8,47.3,33.3,43.7,e,False,59.8
14373,19,other,public,phd,1.9,69.2,yes,<15 min,no,group study,49.9,52.2,59.2,47.0,e,False,49.9
14374,15,male,public,no formal,5.4,95.0,yes,>60 min,yes,textbook,91.4,68.5,85.5,76.2,c,False,91.4
14375,17,other,public,graduate,2.8,60.7,yes,30-60 min,no,online videos,30.8,19.7,52.8,40.2,e,False,30.8
14376,15,female,public,phd,2.3,78.9,yes,<15 min,yes,textbook,41.9,36.9,40.7,40.3,e,False,41.9
14377,15,male,private,phd,6.5,55.3,yes,>60 min,no,textbook,66.6,76.8,46.7,67.6,d,False,66.6
14378,14,other,public,graduate,2.3,55.9,yes,<15 min,no,group study,73.6,33.5,49.6,46.8,e,False,73.6
14379,17,male,private,diploma,7.7,59.8,yes,<15 min,yes,group study,92.9,82.8,100.0,92.6,b,False,92.9
14380,17,other,private,post graduate,3.8,60.9,no,15-30 min,no,textbook,53.2,60.8,49.5,61.7,d,False,53.2
14381,16,female,public,phd,3.7,83.0,yes,30-60 min,yes,notes,66.8,63.8,46.2,63.1,d,False,66.8
14382,17,other,private,no formal,7.6,92.4,yes,30-60 min,yes,notes,100.0,100.0,89.6,100.0,a,False,100.0
14383,16,female,public,high school,1.4,93.3,yes,15-30 min,yes,notes,61.9,60.8,52.2,46.2,e,False,61.9
14384,15,male,public,high school,1.4,81.4,no,>60 min,yes,textbook,44.1,39.2,26.3,47.8,e,False,44.1
14385,18,other,public,phd,3.8,70.3,yes,30-60 min,no,coaching,81.7,56.6,73.3,68.1,d,False,81.7
14386,17,other,public,no formal,4.9,63.2,yes,30-60 min,no,mixed,62.4,55.5,56.1,60.4,d,False,62.4
14387,14,male,private,no formal,4.3,64.7,no,<15 min,no,coaching,58.4,42.0,52.1,53.0,e,False,58.4
14388,16,male,public,no formal,7.7,72.6,yes,>60 min,no,textbook,98.5,82.4,96.0,91.4,b,False,98.5
14389,16,other,public,phd,7.9,81.4,yes,<15 min,no,coaching,88.5,87.4,85.0,88.8,b,False,88.5
14390,18,other,public,no formal,0.8,77.8,no,30-60 min,yes,online videos,33.0,40.3,45.6,47.0,e,False,33.0
14391,15,male,public,high school,1.7,88.1,yes,15-30 min,yes,mixed,56.4,64.8,54.3,53.9,e,False,56.4
14392,19,other,private,graduate,4.7,56.4,yes,>60 min,yes,online videos,55.8,47.8,70.6,60.4,d,False,55.8
14393,17,male,public,diploma,7.6,55.6,yes,>60 min,yes,mixed,75.5,85.4,85.5,86.6,b,False,75.5
14394,14,male,private,no formal,2.6,99.5,yes,30-60 min,no,notes,59.5,42.0,41.0,57.3,d,False,59.5
14395,16,female,public,diploma,3.3,65.8,yes,15-30 min,no,online videos,48.0,59.9,59.8,57.1,d,False,48.0
14396,19,other,public,post graduate,2.2,98.6,yes,30-60 min,no,online videos,55.9,56.5,59.6,53.9,e,False,55.9
14397,15,other,public,high school,7.8,64.5,yes,>60 min,no,online videos,95.2,100.0,100.0,94.4,b,False,95.2
14398,18,female,public,graduate,1.7,53.2,no,>60 min,no,coaching,25.2,36.7,28.3,26.6,f,False,25.2
14399,18,male,public,diploma,4.7,75.4,no,>60 min,yes,online videos,60.9,53.7,79.1,70.1,c,False,60.9
14400,18,female,private,high school,0.7,59.9,yes,30-60 min,yes,mixed,17.8,36.7,32.2,31.4,f,False,17.8
14401,14,other,private,no formal,5.0,95.0,yes,<15 min,no,online videos,71.0,66.8,70.6,68.7,d,False,71.0
